,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
0,AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,AIG Asia Ingredients Corporation,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
1,ACB,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
2,ATB,Công ty Cổ phần An Thịnh,An Thinh Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
3,BRR,Công ty Cổ phần Cao su Bà Rịa,BaRia Rubber Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
4,BNW,Công ty Cổ phần Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
5,BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,VICEM But Son Cement Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
6,CKV,Công ty Cổ phần CokyVina,CokyVina Joint Stock Company,Thiết bị và Phần cứng,Technology Hardware & Equipment,Công nghệ Thông tin,Technology,Thiết bị viễn thông,Telecommunications Equipment,CT,9000,9500,9570,9578
7,CSC,Công ty Cổ phần Tập đoàn COTANA,COTANA GROUP Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
8,CT6,Công ty Cổ phần Công trình 6,Construction Joint Stock Company No.6,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
9,BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Binh Dinh Book and Equipment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
10,CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Cam Ranh International Airport Services Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
11,DHG,Công ty Cổ phần Dược Hậu Giang,DHG Pharmaceutical Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
12,DNW,Công ty Cổ phần Cấp nước Đồng Nai,Dong Nai Water Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
13,DLD,Công ty Cổ phần Du lịch Đắk Lắk,DakLak Tourist Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Khách sạn,Hotels,CT,5000,5700,5750,5753
14,DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dam Sen Water Park Corporation,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Dịch vụ giải trí,Recreational Services,CT,5000,5700,5750,5755
15,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Petrovietnam Fertilizer and Chemicals Corporation,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
16,MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Vung Tau Environment Services and Urban Project Joint Stock Company ,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
17,BSA,Công ty Cổ phần Thủy điện Buôn Đôn,Buon Don Hydropower Joint Stock Company,Sản xuất & Phân phối Điện,Electricity,"Điện, nước & xăng dầu khí đốt",Utilities,Sản xuất & Phân phối Điện,Conventional Electricity,CT,7000,7500,7530,7535
18,DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Danang Petroleum Machinery - Technology Joint Stock Company,Ô tô và phụ tùng,Automobiles & Parts,Ô tô và phụ tùng,Automobiles & Parts,Sản xuất ô tô,Automobiles,CT,3000,3300,3350,3353
19,DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,DakLak Rubber Investment Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
20,PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Binh Duong Producing and Trading Corporation,Lâm nghiệp và Giấy,Forestry & Paper,Tài nguyên Cơ bản,Basic Resources,Sản xuất giấy,Paper,CT,1000,1700,1730,1737
21,CAG,Công ty Cổ phần Cảng An Giang,An Giang Port Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
22,DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Lang Son Tourism and Import - Export Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Khách sạn,Hotels,CT,5000,5700,5750,5753
23,BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Thuduc Centrifugal Concrete Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
24,AGR,Công ty Cổ phần Chứng khoán AGRIBANK,AgriBank Securities Corporation,Dịch vụ tài chính,Financial Services,Dịch vụ tài chính,Financial Services,Môi giới chứng khoán,Investment Services,CK,8000,8700,8770,8777
25,CTF,Công ty Cổ phần City Auto,City Auto Corporation,Ô tô và phụ tùng,Automobiles & Parts,Ô tô và phụ tùng,Automobiles & Parts,Sản xuất ô tô,Automobiles,CT,3000,3300,3350,3353
26,LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Lap Phuong Thanh Production And Trading Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Đào tạo & Việc làm,Business Training & Employment Agencies,CT,2000,2700,2790,2793
27,CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Cadovimex Seafood Import-Export And Processing Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
28,DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Development Investment Construction Number 1 Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
29,DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,Dong Nai Water Supply Construction and Services Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
30,AAA,Công ty Cổ phần Nhựa An Phát Xanh,An Phat Bioplastics Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
31,CDC,Công ty Cổ phần Chương Dương,Chuong Duong Corporation,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
32,ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Viet Brand Invest Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Tư vấn & Hỗ trợ KD,Business Support Services,CT,2000,2700,2790,2791
33,DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Danang Building Material VICEM Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
34,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Duc Long Gia Lai Group Joint Stock Company,Lâm nghiệp và Giấy,Forestry & Paper,Tài nguyên Cơ bản,Basic Resources,Lâm sản và Chế biến gỗ,Forestry,CT,1000,1700,1730,1733
35,AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment And Development Corporation,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
36,EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Hanoi Education Development and Investment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
37,EVG,Công ty Cổ phần Tập đoàn Everland,Everland Group Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
38,CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Construction and Industrial Production Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
39,DNN,Công ty Cổ phần Cấp nước Đà Nẵng,Da Nang Water Supply Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
40,ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM Technology Communications Corporation,Thiết bị và Phần cứng,Technology Hardware & Equipment,Công nghệ Thông tin,Technology,Thiết bị viễn thông,Telecommunications Equipment,CT,9000,9500,9570,9578
41,BDW,Công ty Cổ phần Cấp thoát nước Bình Định,Binh Dinh Water Supply and Sewerage Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
42,HNB,Công ty Cổ phần Bến xe Hà Nội,Ha Noi Transport Station Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
43,DC4,Công ty Cổ phần Xây dựng DIC Holdings,DIC Holdings Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
44,HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD Investment Producing And Trading Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
45,DTB,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Bao Loc Urban Project Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
46,DDV,Công ty Cổ phần DAP - Vinachem,DAP - Vinachem Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
47,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,CuuLong Fish Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
48,ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,A Cuong Mineral Group Joint Stock Company,Khai khoáng,Mining,Tài nguyên Cơ bản,Basic Resources,Khai khoáng,General Mining,CT,1000,1700,1770,1775
49,BRC,Công ty Cổ phần Cao su Bến Thành,Ben Thanh Rubber Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
50,VTG,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Ba Ria - Vung tau Tourist Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Vận tải hành khách & Du lịch,Travel & Tourism,CT,5000,5700,5750,5759
51,LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Central Power Real Estate Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
52,TS3,Công ty Cổ phần Trường Sơn 532,Truong Son 532 Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
53,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Ducgiang Chemicals Group Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
54,ACS,Công ty Cổ phần Xây lắp Thương mại 2,Architects & Construction Service Corporation,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
55,BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Binh Thuan Book And Equipment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
56,BIG,Công ty cổ phần BIG Invest Group,BIG Invest Group Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,"Tư Vấn, Định giá, Môi giới Bất động sản",Real Estate Services,CT,8000,8600,8630,8637
57,A32,Công ty Cổ phần 32,32 Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Giầy dép,Footwear,CT,3000,3700,3760,3765
58,CPA,Công ty Cổ phần Cà phê Phước An,Phuoc An Coffee Joint Stock Company,Bia và đồ uống,Beverages,Thực phẩm và đồ uống,Food & Beverage,Đồ uống & giải khát,Soft Drinks,CT,3000,3500,3530,3537
59,ROS,Công ty Cổ phần Xây dựng FLC FAROS,FLC FAROS Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
60,FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,FBA International Group,Hàng gia dụng,Household Goods & Home Construction,Hàng cá nhân & Gia dụng,Personal & Household Goods,Thiết bị gia dụng,Furnishings,CT,3000,3700,3720,3726
61,DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,DONA Transportation Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
62,NO1,Công ty Cổ phần Tâp đoàn 911,911 Group Joint Stock Company,Công nghiệp nặng,Industrial Engineering,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Máy công nghiệp,Industrial Machinery,CT,2000,2700,2750,2757
63,FCN,Công ty Cổ phần FECON,FECON Corporation,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
64,CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Mao Khe - Vinacomin Mechanical Joint Stock Company,Công nghiệp nặng,Industrial Engineering,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Máy công nghiệp,Industrial Machinery,CT,2000,2700,2750,2757
65,ATG,Công ty Cổ phần An Trường An,An Truong An Joint Stock Company,Khai khoáng,Mining,Tài nguyên Cơ bản,Basic Resources,Khai khoáng,General Mining,CT,1000,1700,1770,1775
66,DFF,Công ty Cổ phần Tập đoàn Đua Fat,Dua Fat Group Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
67,DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Da Lat Urban Server Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
68,BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Binh Duong Water - Environment Corporation - Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
69,FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development And Investment Corporation of Ho Chi Minh City,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
70,BGW,Công ty Cổ phần Nước sạch Bắc Giang,Bac Giang Clean Water Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
71,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Joint Stock Commercial Bank for Investment and Development of Vietnam,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
72,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Airports Corporation of Vietnam,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
73,AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Sai Gon Export Foodstuffs and Agricultural Products Joint Stock Company,Phân phối thực phẩm & dược phẩm,Food & Drug Retailers,Bán lẻ,Retail,Phân phối thực phẩm,Food Retailers & Wholesalers,CT,5000,5300,5330,5337
74,BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Binh Thuan Environmental Urban Service Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
75,GCF,Công ty Cổ phần Thực phẩm G.C,G.C Food Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
76,BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Bao Minh Securities Company Limited,Dịch vụ tài chính,Financial Services,Dịch vụ tài chính,Financial Services,Môi giới chứng khoán,Investment Services,CK,8000,8700,8770,8777
77,DTI,Công ty Cổ phần Đầu tư Đức Trung,Duc Trung Investment Join Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Khách sạn,Hotels,CT,5000,5700,5750,5753
78,CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Constrexim No. 8 Investment and Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
79,ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Nhà hàng và quán bar,Restaurants & Bars,CT,5000,5700,5750,5757
80,DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Danang Education Development And Investment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
81,FIT,Công ty Cổ phần Tập đoàn F.I.T,F.I.T Group Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
82,AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,Y tế,Health Care,Thiết bị y tế,Medical Equipment,CT,4000,4500,4530,4535
83,ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Art Design and Communication Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
84,ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Viet Nam Eco Plastic Technology Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
85,FMC,Công ty Cổ phần Thực phẩm Sao Ta,Sao Ta Foods Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
86,BIO,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Nha Trang Vaccines and Biological Products Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
87,FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
88,EPC,Công ty Cổ phần Cà Phê Ea Pốk,Ea Pok Coffee Joint Stock Company,Bia và đồ uống,Beverages,Thực phẩm và đồ uống,Food & Beverage,Đồ uống & giải khát,Soft Drinks,CT,3000,3500,3530,3537
89,DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Central Phamarceutical Joint Stock Company No 3,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
90,ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,An Giang Fruit-Vegetables & Foodstuff Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
91,FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Duc Quan Investment and Development Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng May mặc,Clothing & Accessories,CT,3000,3700,3760,3763
92,CCP,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Hai Phong Cua Cam Port Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
93,DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Dong A Hotel Group Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Khách sạn,Hotels,CT,5000,5700,5750,5753
94,EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company In Hanoi city,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
95,FOC,Công ty Cổ phần Dịch vụ Trực tuyến FPT,FPT Online Service Joint Stock Company,Truyền thông,Media,Truyền thông,Media,Dịch vụ truyền thông,Media Agencies,CT,5000,5500,5550,5555
96,DSC,Công ty Cổ phần Chứng khoán DSC,DSC Securities Corporation,Dịch vụ tài chính,Financial Services,Dịch vụ tài chính,Financial Services,Môi giới chứng khoán,Investment Services,CK,8000,8700,8770,8777
97,DRG,Công ty Cổ phần Cao su Đắk Lắk,Dak Lak Rubber Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
98,ANV,Công ty Cổ phần Nam Việt,Nam Viet Corporation,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
99,EVE,Công ty Cổ phần Everpia,Everpia Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng May mặc,Clothing & Accessories,CT,3000,3700,3760,3763
100,APC,Công ty Cổ phần Chiếu xạ An Phú,An Phu Irradiation Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Công nghệ sinh học,Biotechnology,CT,4000,4500,4570,4573
101,HVA,Công ty Cổ phần Đầu tư HVA,HVA Investment Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
102,UDL,Công ty Cổ phần Đô thị và Môi trường Đắk Lắk,Dak Lak Urban and Enviroment Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
103,DNM,Tổng Công ty Cổ phần Y tế Danameco,Danameco Medical Joint Stock Corporation,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,Y tế,Health Care,Dụng cụ y tế,Medical Supplies,CT,4000,4500,4530,4537
104,BVB,Ngân hàng Thương mại Cổ phần Bản Việt,Viet Capital Commercial Joint Stock Bank,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
105,FPT,Công ty Cổ phần FPT,FPT Corporation,Phần mềm & Dịch vụ Máy tính,Software & Computer Services,Công nghệ Thông tin,Technology,Phần mềm,Software,CT,9000,9500,9530,9537
106,FOX,Công ty Cổ phần Viễn thông FPT,FPT Telecom,Viễn thông cố định,Fixed Line Telecommunications,Viễn thông,Telecommunications,Viễn thông cố định,Fixed Line Telecommunications,CT,6000,6500,6530,6535
107,CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,South Basic Chemicals Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
108,APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products And Foodstuff Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
