,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
836,EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Power Investment - Trade - Service Joint Stock Company,Du lịch & Giải trí,Travel & Leisure,Du lịch và Giải trí,Travel & Leisure,Khách sạn,Hotels,CT,5000,5700,5750,5753
837,PIV,Công ty Cổ phần PIV,PIV Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,"Tư Vấn, Định giá, Môi giới Bất động sản",Real Estate Services,CT,8000,8600,8630,8637
838,KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Hai Duong Mineral Eineal Processing Joint Stock Company,Khai khoáng,Mining,Tài nguyên Cơ bản,Basic Resources,Khai khoáng,General Mining,CT,1000,1700,1770,1775
839,PJS,Công ty Cổ phần Cấp nước Phú Hòa Tân,Phu Hoa Tan Water Supply Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
840,HID,Công ty Cổ phần Halcom Vietnam,Halcom Vietnam Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
841,PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Petrolimex Joint Stock Tanker Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Vận tải Thủy,Marine Transportation,CT,2000,2700,2770,2773
842,PLA,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,Petroleum Logistic Service and Investment Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
843,PLO,Công ty Cổ phần Kho vận Petec,Petec Logistics Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
844,PLE,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,Petrolimex Engineering Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
845,PMC,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Pharmedic Pharmaceutical Medicinal Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
846,PMJ,Công ty Cổ phần Vật tư Bưu điện,Posts and Telecommunications Material Supply Joint Stock Company,Thiết bị và Phần cứng,Technology Hardware & Equipment,Công nghệ Thông tin,Technology,Thiết bị viễn thông,Telecommunications Equipment,CT,9000,9500,9570,9578
847,PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Petrolimex Petrochemical Corporation,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
848,PMP,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Dam Phu My Packing Joint Stock Company,Hàng công nghiệp,General Industrials,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Containers & Đóng gói,Containers & Packaging,CT,2000,2700,2720,2723
849,HNP,Công ty Cổ phần Hanel Xốp Nhựa,Hanel Plastics Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
850,PHH,Công ty Cổ phần Hồng Hà Việt Nam,Hong Ha Vietnam Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
