,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
34,VTO,8424722,STOCK,HSX,Vietnam Tanker Joint Stock Company,Vitaco - Vietnam Tanker,VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO
35,VTM,8425039,STOCK,UPCOM,Vinacomin - Transportation and Miner Commuting Service Joint Stock Company,Vinacomin - Transportation,Đưa đón thợ mỏ - Vinacomin,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin
36,VTL,8425941,STOCK,UPCOM,Thang Long Wine Joint Stock Company,Thanglong Wines,Vang Thăng Long,Công ty Cổ phần Vang Thăng Long
37,VTK,8425913,STOCK,UPCOM,Viettel Consultancy and Services Joint Stock Company,Viettel Consultancy and Services,Tư vấn thiết kế Viettel,Công ty Cổ phần Tư vấn và Dịch vụ Viettel
38,VTJ,8425826,STOCK,HNX,VI NA TA BA Trading & Investment Joint Stock Company,Vinataba Trading & Investment,TM và Đầu tư VINATABA,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA
39,VTI,8425131,STOCK,UPCOM,Textile - Garment Import - Export and Production Joint Stock Company,VINATEXIMEX,Sản xuất - XNK Dệt may,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may
40,VTH,8426073,STOCK,HNX,Viet Thai Electric Cable Corporation,Viet Thai Electric Cable,Dây cáp điện Việt Thái,Công ty Cổ phần Dây cáp điện Việt Thái
41,VTG,9679676,STOCK,UPCOM,Ba Ria - Vung tau Tourist Joint Stock Company,Vungtau Tourist,Du lịch tỉnh BR-VT,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu
42,VTE,8426189,STOCK,UPCOM,VINACAP Kim Long Joint Stock Company,"VINACAP Kim Long.,JSC",VINACAP Kim Long,Công ty Cổ phần VINACAP Kim Long
43,VTD,8425705,STOCK,UPCOM,Vietourist Holdings Joint Stock Company,Vietourist Travel,Du lịch Vietourist,Công ty Cổ phần Vietourist Holdings
44,VTC,8425761,STOCK,HNX,VTC Telecommunications Joint Stock Company,VTC Telecom,Viễn thông VTC,Công ty Cổ phần Viễn Thông VTC
45,VTB,8424690,STOCK,HSX,Viettronics Tan Binh Joint Stock Company,Viettronics Tan Binh,Viettronics Tân Bình,Công ty Cổ phần Viettronics Tân Bình
46,VTA,8426202,STOCK,UPCOM,Vitaly Joint Stock Company,Vitaly,Gạch men VITALY,Công ty Cổ phần VITALY
47,VST,8425496,STOCK,UPCOM,Viet Nam Sea Transport and Chartering Joint Stock Company,Viet Nam Sea Transport and Chartering,Vận tải và Thuê Tàu biển Việt Nam,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam
48,VSP,8425494,STOCK,DELISTED,Viet Hai Shipping and Real Properties Corporation,Vinashin petroleum transport,ShinPetrol,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải
49,VSN,8425663,STOCK,UPCOM,VISSAN Joint Stock Company,VISSAN,VN Kỹ Nghệ Súc Sản (VISSAN),Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản
50,VSM,8425686,STOCK,HNX,Central Container Joint Stock Company,Central Container,Container Miền Trung,Công ty Cổ phần Container Miền Trung
51,VSI,8424775,STOCK,HSX,Water Supply Sewerage Construction and Investment Joint Stock Company,Waseco,Đầu tư và Xây dựng Cấp thoát nước,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước
52,VSH,8424849,STOCK,HSX,Vinh Son - Song Hinh Hydropower Joint Stock Company,Vinh Son - Song Hinh Hydropower,Thủy điện Vĩnh Sơn - Sông Hinh,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh
53,VSG,8425070,STOCK,UPCOM,Southern Vietnam Container Shipping Joint Stock Company,Southern Container Shipping,Container Phía Nam,Công ty Cổ phần Container Phía Nam
