,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
468,SPH,8425516,STOCK,UPCOM,Ha Noi Seaproducts Import Export Joint Stock Corporation,SEAPRODEX HANOI,XNK Thủy sản Hà Nội,Công ty Cổ phần Xuất Nhập khẩu Thủy sản Hà Nội
469,SPD,8425469,STOCK,UPCOM,Danang Seaproducts Import - Export Corporation,Danang Seaproducts,Thủy sản Miền Trung,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung
470,SPC,8426107,STOCK,HNX,Saigon Plant Protection Joint Stock Company,Saigon Plant Protection,BV Thực vật Sài Gòn,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn
471,SPB,8425142,STOCK,UPCOM,Phu Bai Spinning Mill Joint Stock Company,Phu Bai Spinning,Sợi Phú Bài,Công ty Cổ phần Sợi Phú Bài
472,SPA,8426044,STOCK,DELISTED,Saigon Packaging Joint Stock Company,Saigon Packaging,Bao bì Sài Gòn,Công ty Cổ phần Bao bì Sài Gòn
473,SP2,8425470,STOCK,UPCOM,Su Pan 2 Hydropower Joint Stock Company,Su Pan 2 Hydropower Joint Stock Company,Thủy điện Sử Pán 2,Công ty Cổ phần Thủy điện Sử Pán 2
474,SON,8425743,STOCK,DELISTED,,,,
475,SNZ,8426166,STOCK,UPCOM,Sonadezi Corporation,SONADEZI,SONADEZI,Tổng Công ty Cổ phần Phát triển Khu Công nghiệp
476,SNC,8426095,STOCK,UPCOM,Nam Can Seaproducts Import Export Joint Stock Company,Nam Can Seaproducts,Thủy sản Năm Căn,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn
477,SMT,8426012,STOCK,HNX,SAMETEL Corporation,SAMETEL,SAMETEL,Công ty Cổ phần SAMETEL
478,SMN,8426123,STOCK,HNX,South Books and Educational Equipment Joint Stock Company,SOBEE JSC,Sách và thiết bị GD miền Nam,Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam
479,SMC,8424932,STOCK,HSX,SMC Trading Investment Joint Stock Company,SMC Investment Trading,Đầu tư Thương mại SMC,Công ty Cổ phần Đầu tư Thương mại SMC
480,SMB,8425031,STOCK,HSX,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer,Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung
481,SMA,8424663,STOCK,HSX,Saigon Machinery Spare Parts Joint Stock Company,Saigon Machinco,Thiết bị Phụ tùng Sài Gòn,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn
482,SLS,8425775,STOCK,HNX,Son La Sugar Joint Stock Company,Son La Sugar,Mía đường Sơn La,Công ty Cổ phần Mía đường Sơn La
483,SKV,8425885,STOCK,UPCOM,Khanh Hoa Salanges Nest Soft Drink Joint Stock Company,Khanh Hoa Salanges Nest Soft Drink,NGK Yến sào Khánh Hòa,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa
484,SKN,8425339,STOCK,UPCOM,Sanna Khanh Hoa Beverage Joint Stock Company,Sanna Khanh Hoa Beverage,NGK Sanna Khánh Hòa,Công ty Cổ phần Nước giải khát Sanna Khánh Hòa
485,SKH,8426023,STOCK,UPCOM,Khanh Hoa Sanest Soft Drink Joint Stock Company,Khanh Hoa Sanest Soft Drink,NGK Sanest Khánh Hòa,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa
486,SKG,8424703,STOCK,HSX,Superdong - Kien Giang Fast Ferry Joint Stock Company,Superdong - Kien Giang Fast Ferry,Tàu Cao tốc Superdong,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang
487,SJS,8424918,STOCK,HSX,SJ Group Joint Stock Company,SJ Group,SJ Group,Công ty Cổ phần SJ Group
488,SJM,8425054,STOCK,UPCOM,Song Da 19 Joint Stock Company,Song Da 19,Sông Đà 19,Công ty Cổ phần Sông Đà 19
489,SJG,8425202,STOCK,UPCOM,Song Da Corporation,Song Da Corp.,Tổng Công ty Sông Đà,Tổng Công ty Sông Đà
490,SJF,8424764,STOCK,UPCOM,Sunstar Investment Joint Stock Company,Sunstar Investment,Đầu tư Sao Thái Dương,Công ty Cổ phần Đầu tư Sao Thái Dương
491,SJE,8425422,STOCK,HNX,Song Da No11 Joint Stock Company,Song Da 11,Sông Đà 11,Công ty Cổ phần Sông Đà 11
492,SJD,8424982,STOCK,HSX,Can Don Hydropower Joint Stock Company,Can Don Hydro Power,Thủy điện Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn
493,SJC,8425208,STOCK,UPCOM,Song Da 1.01 Joint Stock Company,Song Da 1.01,Sông Đà 1.01,Công ty Cổ phần Sông Đà 1.01
494,SJ1,8426000,STOCK,HNX,Hung Hau Agricultural Corporation,Hung Hau Agricultural,Nông nghiệp Hùng Hậu,Công ty Cổ phần Nông nghiệp Hùng Hậu
495,SIV,8425360,STOCK,UPCOM,SIVICO Joint Stock Company,"SJS.,CO",SIVICO,Công ty Cổ phần SIVICO
496,SIP,8425918,STOCK,HSX,Saigon VRG Investment Corporation,SVGR CORP,Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG
497,SII,8424873,STOCK,UPCOM,Saigon Water Infrastructure Corporation,Saigon Water,Hạ tầng Nước Sài Gòn,Công ty Cổ phần Hạ tầng Nước Sài Gòn
498,SIG,8425895,STOCK,UPCOM,Song Da Investment and Trading Joint Stock Company ,Song Da Investment and Trading,Đầu tư và Thương mại Sông Đà,Công ty Cổ phần Đầu tư và Thương mại Sông Đà
499,SID,8425398,STOCK,UPCOM,Saigon Co.op Investment Development Joint Stock Company,Saigon Co.op Investment,Đầu tư PT Sài Gòn Co.op,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op
500,SIC,8425212,STOCK,DELISTED,ANI Joint Stock Company,ANI Joint Stock Company,Công ty Cổ phần ANI,Công ty Cổ phần ANI
501,SHX,8424975,STOCK,DELISTED,Sai gon Train Joint Stock Company,Sai gon Train,Sài Gòn Hỏa xa,Công ty Cổ phần Sài Gòn Hỏa xa
502,SHS,8425425,STOCK,HNX,Sai Gon - Ha Noi Securities Joint Stock Company,Sai Gon - Ha Noi Securities,Chứng khoán SG - HN,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội
503,SHP,8424623,STOCK,HSX,Southern Hydropower Joint Stock Company,Southern Hydropower,Thủy điện Miền Nam,Công ty Cổ phần Thủy điện Miền Nam
504,SHN,8425432,STOCK,HNX,Hanoi Investment General Corporation,Hanoi Investment General,Đầu tư Tổng hợp Hà Nội,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội
505,SHI,8424721,STOCK,HSX,Sonha International Corporation,Sonha International Corporation,Quốc tế Sơn Hà,Công ty Cổ phần Quốc tế Sơn Hà
506,SHG,8425036,STOCK,UPCOM,SongHong Joint Stock Corporation,SongHong Corp,Tổng Công ty Sông Hồng,Tổng Công ty Cổ phần Sông Hồng
507,SHE,8425751,STOCK,HNX,Son Ha Development of Renewable Energy Joint Stock Company,Son Ha Development of Renewable Energy,PT Năng Lượng Sơn Hà,Công ty Cổ phần Phát triển Năng Lượng Sơn Hà
508,SHC,8426081,STOCK,UPCOM,Sai Gon Maritime Joint Stock Company,Sai Gon Maritime,Hàng hải Sài Gòn,Công ty Cổ phần Hàng hải Sài Gòn
509,SHB,8424856,STOCK,HSX,Saigon-Hanoi Commercial Joint Stock Bank,SH Bank,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
510,SHA,8424526,STOCK,HSX,Son Ha Sai Gon Joint Stock Company,Son Ha Sai Gon,Sơn Hà Sài Gòn,Công ty Cổ phần Sơn Hà Sài Gòn
511,SGT,8425016,STOCK,HSX,Saigon Telecommunication And Technologies Corporation,Saigon Telecom,Sài Gòn Telecom,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn
512,SGS,8426127,STOCK,UPCOM,Saigon Shipping Joint Stock Company,Saigon Shipping,Vận tải biển Sài Gòn,Công ty Cổ phần Vận tải biển Sài Gòn
513,SGR,8424620,STOCK,HSX,Saigon Real Estate Group Joint Stock Company,SAIGONRES Group,Địa ốc Sài Gòn,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn
514,SGP,8425252,STOCK,UPCOM,Sai Gon Port Joint Stock Company,Saigon Port,Cảng Sài Gòn,Công ty Cổ phần Cảng Sài Gòn
515,SGO,8425231,STOCK,DELISTED,Saigon Vegetable Oil Joint Stock Company,Saigon Oil,Dầu thực vật Sài Gòn,Công ty Cổ phần Dầu thực vật Sài Gòn
516,SGN,8424618,STOCK,HSX,Saigon Ground Services Joint Stock Company,Saigon Ground Services,Phục vụ mặt đất Sài Gòn,Công ty Cổ phần Phục vụ mặt đất Sài Gòn
517,SGI,8425589,STOCK,UPCOM,Sai Gon 3 Group Investment Development Joint Stock Company,Sai Gon 3 Group Investment Development,ĐT PT Sài Gòn 3 Group,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group
518,SGH,8425592,STOCK,HNX,Saigon Hotel Corporation,Saigon Hotel Corp.,Khách sạn Sài Gòn,Công ty Cổ phần Khách sạn Sài Gòn
519,SGD,8425170,STOCK,HNX,Educational Book Joint Stock Company in Ho Chi Minh City,Ho Chi Minh Edu Books,Sách GD TP.HCM,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh
520,SGC,8426130,STOCK,HNX,Sa Giang Import Export Corporation,Sa Giang Import Export Corp.,Bánh phồng tôm Sa Giang,Công ty Cổ phần Xuất nhập khẩu Sa Giang
521,SGB,8425932,STOCK,UPCOM,Saigon Bank For Industry and Trade Joint Stock Bank,Saigonbank,Sài Gòn Công thương,Ngân hàng Thương mại Cổ phần Sài Gòn Công thương
522,SFN,8425288,STOCK,HNX,Saigon Fishing Net Joint Stock Company,Saigon Fishing Net,Dệt lưới Sài Gòn,Công ty Cổ phần Dệt lưới Sài Gòn
523,SFI,8424980,STOCK,HSX,Sea And Air Freight International,Sea and Air Freight International,Vận tải SAFI,Công ty Cổ phần Đại lý Vận tải SAFI
524,SFG,8424475,STOCK,HSX,The Southern Fertilizer Joint Stock Company,The Southern Fertilizer,Phân bón Miền Nam,Công ty Cổ phần Phân bón Miền Nam
525,SFC,8424541,STOCK,HSX,Saigon Fuel Joint Stock Company,Saigon Fuel Co.,Nhiên liệu Sài Gòn,Công ty Cổ phần Nhiên liệu Sài Gòn
526,SEP,8425749,STOCK,UPCOM,Quang Tri General Trading Joint Stock Company,SEPON GROUP,Thương mại Quảng Trị,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị
527,SED,8425857,STOCK,HNX,Phuong Nam Education Investment and Development Joint Stock Company,Phuong Nam education,Phát triển GD Phương Nam,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Phương Nam
528,SEB,8425721,STOCK,HNX,Mien Trung Power Investment and Development Joint Stock Company,Central Area Electricity,Điện miền Trung,Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung
529,SEA,8425299,STOCK,UPCOM,Viet Nam Seaproducts Joint Stock Corporation,SEAPRODEX,SEAPRODEX,Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần
530,SDY,9679663,STOCK,UPCOM,Song Da Yaly Cement Joint Stock Company,Song Da Yaly Cement,Xi măng Sông Đà Yaly,Công ty Cổ phần Xi măng Sông Đà Yaly
531,SDX,8424878,STOCK,UPCOM,Song Da Investment Construction and Fire Prevention Joint Stock Company,SD Investment Construction and Fire Prevention,PCCC và Đầu tư XD Sông Đà,Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà
532,SDV,8425338,STOCK,UPCOM,Sonadezi Service Joint Stock Company,Sonadezi Service,Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi
533,SDU,8425729,STOCK,HNX,Song Da Urban Investment Construction And Development Joint Stock Company,Song Da Urban,Đô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
534,SDT,8425935,STOCK,UPCOM,Song Da No 10 Joint Stock Company,Song Da 10 JSC,Sông Đà 10,Công ty Cổ phần Sông Đà 10
535,SDP,8425149,STOCK,UPCOM,SDP Joint Stock Company,SDP Joint Stock Company,Công ty Cổ phần SDP,Công ty Cổ phần SDP
536,SDN,8425688,STOCK,HNX,Dong Nai Paint Corporation,Dong Nai Paint Corp.,Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai
537,SDK,8425756,STOCK,UPCOM,Mechanical Engineering and Metallurgy Joint - Stock Company,Mechanical Engineering and Metallurgy,Cơ khí Luyện Kim,Công ty Cổ phần Cơ khí Luyện Kim
538,SDJ,8425684,STOCK,UPCOM,Song Da No. 25 Joint Stock Company,Song Da 25,Sông Đà 25,Công ty Cổ phần Sông Đà 25
539,SDH,9679662,STOCK,DELISTED,Song Da Infrastructure Construction Joint Stock Company,Song Da Sico,Hạ tầng Sông Đà,Công ty Cổ phần Xây dựng hạ tầng Sông Đà
540,SDG,8425326,STOCK,HNX,Can Tho Sadico Joint Stock Corporation,Can Tho Sadico,Sadico Cần Thơ,Công ty Cổ phần Sadico Cần Thơ
541,SDD,8426131,STOCK,UPCOM,Song Da Investment and Construction Joint Stock Company,Song Da Construction,Xây lắp Sông Đà,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà
542,SDC,8425298,STOCK,HNX,Song Da Consulting Joint Stock Company,Song Da Consulting,Tư vấn Sông Đà,Công ty Cổ phần Tư vấn Sông Đà
543,SDB,9679661,STOCK,UPCOM,Song Da 207 Joint Stock Company,SongDa 207,Sông Đà 207,Công ty Cổ phần Sông Đà 207
544,SDA,8426108,STOCK,HNX,SIMCO Song Da Joint Stock Company,SIMCO Song Da,XKLĐ Sông Đà,Công ty Cổ phần SIMCO Sông Đà
545,SD9,8426112,STOCK,HNX,Song Da No9 Joint Stock Company,Song Da 9 JSC,Sông Đà 9,Công ty Cổ phần Sông Đà 9
546,SD8,8425090,STOCK,UPCOM,Song Da Joint Stock Company No 8,Song Da 8 JSC,Sông Đà 8,Công ty Cổ phần Sông Đà 8
547,SD7,8425239,STOCK,UPCOM,Songda 7 Joint Stock Company,Song Da 7 JSC,Sông Đà 7,Công ty Cổ phần Sông Đà 7
548,SD6,8425363,STOCK,UPCOM,Song Da Joint Stock Company No 6,Song Da 6 JSC,Sông Đà 6,Công ty Cổ phần Sông Đà 6
549,SD5,8426138,STOCK,HNX,Song Da No5 Joint Stock Company,Song Da 5 JSC,Sông Đà 5,Công ty Cổ phần Sông Đà 5
550,SD4,8426080,STOCK,UPCOM,Song Da 4 Joint Stock Company,Song Da 4 JSC,Sông Đà 4,Công ty Cổ phần Sông Đà 4
551,SD3,8425936,STOCK,UPCOM,Song Da 3 Joint Stock Company,Song Da 3 JSC,Sông Đà 3,Công ty Cổ phần Sông Đà 3
552,SD2,8426128,STOCK,UPCOM,Song Da 2 Joint Stock Company,Song Da 2 JSC,Sông Đà 2,Công ty Cổ phần Sông Đà 2
553,SD1,9679660,STOCK,UPCOM,Song Da 1 Joint Stock Company,Song Da 1,Sông Đà 1,Công ty Cổ phần Sông Đà 1
554,SCY,8425110,STOCK,UPCOM,Song Cam Shipbuilding Joint Stock Company,Song Cam Shipbuilding,Đóng tàu Sông Cấm,Công ty Cổ phần Đóng tàu Sông Cấm
555,SCV,8425158,STOCK,DELISTED,Vietnam National Salt Joint Stock Company,"Visalco.,JSC","Visalco.,JSC",Công ty Cổ phần Muối Việt Nam
556,SCS,8424910,STOCK,HSX,Saigon Cargo Service Corporation,Saigon Cargo Service,DV Hàng hóa Sài Gòn,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn
557,SCR,8424617,STOCK,HSX,Sai Gon Thuong Tin Real Estate Joint Stock Company,TTC Land,TTC Land,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín
558,SCO,8425159,STOCK,UPCOM,Seaproducts Mechnical Shareholding Company,Seaproducts Mechnical,Công nghiệp Thủy Sản,Công ty Cổ phần Công nghiệp Thủy sản
559,SCL,8425414,STOCK,UPCOM,Song Da Cao Cuong Joint Stock Company,Song Da Cao Cuong,Sông Đà Cao Cường,Công ty Cổ phần Sông Đà Cao Cường
560,SCJ,8426119,STOCK,UPCOM,Sai Son Cement Joint Stock Company,Sai Son Cement,Xi măng Sài Sơn,Công ty Cổ phần Xi măng Sài Sơn
561,SCI,8425999,STOCK,HNX,SCI E&C Joint Stock Company,SCI E&C,SCI E&C,Công ty Cổ phần SCI E&C
562,SCG,8425381,STOCK,HNX,SCG Construction Group Joint Stock Company,SCG Construction,Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG
563,SCD,8424808,STOCK,UPCOM,Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages,Giải khát Chương Dương,Công ty Cổ phần Nước giải khát Chương Dương
564,SCC,8425278,STOCK,UPCOM,SHB Trading Investment Joint Stock Company,SHB Trading Investment JSC,Thương mại Đầu tư SHB,Công ty Cổ phần Thương mại Đầu tư SHB
565,SCA,8425772,STOCK,DELISTED,Song Con Agriculture Joint Stock Company,Song Con Agriculture,Nông nghiệp Sông Con,Công ty Cổ phần Nông nghiệp Sông Con
566,SC5,8424925,STOCK,HSX,Construction Joint Stock Company No 5,Construction No. 5,Xây dựng Số 5,Công ty Cổ phần Xây dựng số 5
567,SBV,8424834,STOCK,HSX,Siam Brothers Vietnam Joint Stock Company,Siam Brothers Vietnam,Siam Brothers Việt Nam,Công ty Cổ phần Siam Brothers Việt Nam
568,SBT121002,11409887,BOND,DELISTED,SBT121002 - Bond,SBT121002 - Bond,SBT121002 - Trái phiếu,SBT121002 - Trái phiếu
569,SBT,8424941,STOCK,HSX,Thanh Thanh Cong - Bien Hoa Joint Stock Company,Thanh Thanh Cong - Bien Hoa Sugar,Mía đường Thành Thành Công - Biên Hòa,Công ty Cổ phần Thành Thành Công - Biên Hòa
570,SBS,8425424,STOCK,UPCOM,SBS Securities Joint Stock Company,Sacombank Securities,Chứng khoán Sacombank,Công ty Cổ phần Chứng khoán SBS
571,SBR,8425850,STOCK,UPCOM,Song Be Rubber Joint Stock Company,Song Be Rubber,Cao su Sông Bé,Công ty Cổ phần Cao su Sông Bé
572,SBM,8425075,STOCK,UPCOM,Bac Minh Development Investment Joint Stock Company,Bac Minh Development Investment,Đầu tư PT Bắc Minh,Công ty Cổ phần Đầu tư phát triển Bắc Minh
573,SBL,8426079,STOCK,UPCOM,Sai Gon - Bac Lieu Beer Joint Stock Company,Sai Gon - Bac Lieu Beer,Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu
574,SBH,8425815,STOCK,UPCOM,Song Ba Ha Hydro Power Joint Stock Company,Song Ba Ha Hydro Power,Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ
575,SBG,13047624,STOCK,HSX,Siba High-tech Mechanical Group Joint Stock Company,Siba Group Jsc,Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba
576,SBD,8425306,STOCK,UPCOM,SaoBacDau Technologies Corporation,SaoBacDau Technologies,Công nghệ Sao Bắc Đẩu,Công ty Cổ phần Công nghệ Sao Bắc Đẩu
577,SBB,13092352,STOCK,UPCOM,Saigon Binh Tay Beer Group Joint Stock Company,Sai Gon Binh Tay Beer,Bia Sài Gòn Bình Tây,Công ty cổ phần Tập đoàn Bia Sài Gòn Bình Tây
578,SBA,8424625,STOCK,HSX,Song Ba Joint Stock Company,Song Ba JSC,Sông Ba JSC,Công ty Cổ phần Sông Ba
579,SB1,8425859,STOCK,UPCOM,Sai Gon - Nghe Tinh Beer Joint Stock Company ,Sai Gon Nghe Tinh Beer,Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh
580,SAV,8424482,STOCK,HSX,Savimex Corporation,Savimex,Savimex,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex
581,SAS,8425823,STOCK,UPCOM,Southern Airports Services Joint Stock Company,Southern Airports Services,DV Hàng không sân bay TSN,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất
582,SAP,8425709,STOCK,UPCOM,Textbook Printing Joint Stock Company in Ho Chi Minh City,Ho Chi Minh Textbook Printing,In Sách TP.HCM,Công ty Cổ phần In Sách Giáo khoa TP.Hồ Chí Minh
583,SAM,8424866,STOCK,HSX,SAM Holdings Corporation,SAM Holdings,SAM Holdings,Công ty Cổ phần SAM Holdings
584,SAL,8425467,STOCK,UPCOM,Viet Nam Salvage Joint Stock Company,Viet Nam Salvage,Trục vớt Cứu hộ Việt Nam,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam
585,SAF,8425953,STOCK,HNX,Safoco Foodstuff Joint Stock Company,Safoco Foodstuff,Thực Phẩm SAFOCO,Công ty Cổ phần Lương thực Thực phẩm SAFOCO
586,SAC,8426109,STOCK,UPCOM,Sai Gon Port Stevedoring And Service Joint Stock Company,Sai Gon Port Stevedoring And Service,Dịch vụ cảng Sài Gòn,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn
587,SAB,8424770,STOCK,HSX,Saigon Beer - Alcohol - Beverage Corporation,SABECO,SABECO,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn
588,S99,8425265,STOCK,HNX,SCI Joint Stock Company,Song Da 99 (SCI),Sông Đà 9.09 (SCI),Công ty Cổ phần SCI
589,S96,8425463,STOCK,UPCOM,Song Da 9.06 Joint Stock Company,Song Da 96,Sông Đà 9.06,Công ty Cổ phần Sông Đà 9.06
590,S74,8425259,STOCK,UPCOM,Song Da 7.04 Joint Stock Company,Song Da 7.04,Sông Đà 7.04,Công ty Cổ phần Sông Đà 7.04
591,S72,8425438,STOCK,UPCOM,Song Da 7.02 Hydroelectric Joint Stock Company,Song Da 7.02,Sông Đà 7.02,Công ty Cổ phần Sông Đà 7.02
592,S55,8426043,STOCK,HNX,Song Da 505 Joint Stock Company,Song Da 55,Sông Đà 505,Công ty Cổ phần Sông Đà 505
593,S4A,8424961,STOCK,HSX,SeSan 4A HydroElectric Joint Stock Company,SeSan 4A HydroElectric,Thủy điện Sê San 4A,Công ty Cổ phần Thủy điện Sê San 4A
594,S27,8425071,STOCK,UPCOM,Song Da 27 Joint Stock Company,Song Da 27,Sông Đà 27,Công ty Cổ phần Sông Đà 27
595,S12,9679659,STOCK,UPCOM,Song Da No 12 Joint Stock Company,Song Da 12,Sông Đà 12,Công ty Cổ phần Sông Đà 12
596,RTB,8425741,STOCK,UPCOM,Tan Bien Rubber Joint Stock Company,Tan Bien Rubber,Cao su Tân Biên,Công ty Cổ phần Cao su Tân Biên
597,ROS,8424947,STOCK,DELISTED,FLC FAROS Construction Joint Stock Company,FLC FAROS Construction,Xây dựng FLC FAROS,Công ty Cổ phần Xây dựng FLC FAROS
598,RIC,8425018,STOCK,UPCOM,Royal International Joint Stock Corporation,Royal International Casino,Quốc tế Hoàng Gia,Công ty Cổ phần Quốc Tế Hoàng Gia
599,RGC,8425287,STOCK,DELISTED,PV-Inconess Investment Joint Stock Company,PV-Inconess Investment,Đầu tư PV-Inconess,Công ty Cổ phần Đầu tư PV-Inconess
600,REE,8424619,STOCK,HSX,Refrigeration Electrical Engineering Corporation,Refrigeration Electrical Engineering,Cơ Điện Lạnh REE,Công ty Cổ phần Cơ điện Lạnh
601,RDP,8424720,STOCK,HSX,Rang Dong Holding Joint-Stock Company,Rang Dong Plastic,Nhựa Rạng Đông,Công ty Cổ phần Rạng Đông Holding
602,RCL,8425201,STOCK,HNX,Cho Lon Real Estate Joint Stock Company,Cho Lon Real Estates,Địa Ốc Chợ Lớn,Công ty Cổ phần Địa ốc Chợ Lớn
603,RCD,8425771,STOCK,UPCOM,Rubber Real Estate Construction Joint Stock Company,Rubber Real Estate Construction,XD - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su
604,RCC,8425169,STOCK,UPCOM,Railway Construction Corporation Joint Stock Company,Railway Construction,Công trình Đường sắt,Công ty Cổ phần Tổng Công ty Công trình Đường sắt
605,RBC,8425582,STOCK,UPCOM,Rubber Industry & Import- Export Joint Stock Company,Rubico,Công Nghiệp và Xuất nhập khẩu Cao Su,Công ty Cổ phần Công Nghiệp và Xuất nhập khẩu Cao Su
606,RAT,8425736,STOCK,UPCOM,Railway Transport and Trade Joint Stock Company,Railway Transport and Trade,VT và TM Đường sắt,Công ty Cổ phần Vận tải và Thương mại Đường sắt
607,RAL,8424887,STOCK,HSX,Rang Dong Light Sources and Vacuum Flask Joint Stock Company,Rang Dong Light and Vacuum Flask,Bóng đèn Phích nước Rạng Đông,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông
608,QTP,8425290,STOCK,UPCOM,Quang Ninh Thermal Power Joint Stock Company,Quang Ninh Thermal Power,Nhiệt điện Quảng Ninh,Công ty Cổ phần Nhiệt điện Quảng Ninh
609,QTC,8425780,STOCK,HNX,Quang Nam Transportion Construction Joint Stock Company,Quang Nam Construction,GTVT Quảng Nam,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam
610,QST,8425115,STOCK,HNX,Quang Ninh Book And Educational Equipment Joint Stock Company,Quang Ninh Books & Equipments,Sách Quảng Ninh,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh
611,QSP,8425173,STOCK,UPCOM,Quy Nhon New Port Joint Stock Company,Quy Nhon New Port,Tân cảng Quy Nhơn,Công ty Cổ phần Tân cảng Quy Nhơn
612,QPH,8425703,STOCK,UPCOM,Que Phong Hydropower Joint Stock Company,Que Phong Hydropower,Thủy điện Quế Phong,Công ty Cổ phần Thủy điện Quế Phong
613,QNW,8425631,STOCK,UPCOM,Quang Ngai Water Supply Sewerage and Construction Joint Stock Company,Quang Ngai Water Supply Sewerage,Cấp thoát nước và XD Quảng Ngãi,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi
614,QNU,8425493,STOCK,UPCOM,Quang Nam Urban Environment Joint Stock Company,Quang Nam Urban Environment,Môi trường Đô thị Quảng Nam,Công ty Cổ phần Môi trường Đô thị Quảng Nam
615,QNT,8425492,STOCK,UPCOM,Quang Nam Consulting and Investment Development Joint Stock Company,Quang Nam Consulting and Investment Development,Tư vấn và Đầu tư Phát triển Quảng Nam,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam
616,QNS,8426129,STOCK,UPCOM,Quang Ngai Sugar Joint Stock Company,Quang Ngai Sugar,Đường Quảng Ngãi,Công ty Cổ phần Đường Quảng Ngãi
617,QNP,13245657,STOCK,HSX,Quy Nhon Port Joint Stock Company,Cang Quy Nhon,Cảng Quy Nhơn,Công ty Cổ phần Cảng Quy Nhơn
618,QNC,8426173,STOCK,UPCOM,Quang Ninh Construction and Cement Joint Stock Company,Quang Ninh Construction & Cement,Xi măng Quảng Ninh,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh
619,QLT,8425348,STOCK,DELISTED,Inland Waterway Management Maintenance Joint Stock Company No.10,Inwama No.10,Bảo trì đường thủy nội địa số 10,Công ty Cổ phần Quản lý Bảo trì Đường thủy Nội địa số 10
620,QLD,8425653,STOCK,DELISTED,Lang Son Road Management and Construction Joint Stock Company,Lang Son Road Management and Construction,QL và XD Giao thông Lạng Sơn,Công ty Cổ phần Quản lý và Xây dựng Giao thông Lạng Sơn
621,QHW,8426137,STOCK,UPCOM,Quang Ninh Mineral Water Corporation,Quang Ninh Mineral Water,Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh
622,QHD,8425753,STOCK,HNX,Viet-Duc Welding Electrode Joint Stock Company,Viet Duc welding electrode,Que hàn Việt Đức,Công ty Cổ phần Que hàn điện Việt Đức
